Timestamp,How many minutes did you spend on TikTok?,What type of content did you mostly watch?,Where were you when using TikTok?,What time of day was it?,Why did you open TikTok this time?
3/31/2026 11:40:46,10,Entertainment,At home,Morning,Bored
3/31/2026 11:42:08,40,Gaming,On public transport,Afternoon,Bored
3/31/2026 11:42:33,20,News,At home,Morning,Looking for information
3/31/2026 11:42:59,40,Entertainment,At home,Late night,Couldn't sleep
3/31/2026 11:44:10,30,Sports,At a cafe/restaurant,Afternoon,Relaxing
3/31/2026 11:44:37,30,Fashion,On campus,Afternoon,Taking a break
3/31/2026 11:45:07,25,Sports,At a cafe/restaurant,Afternoon,Habit
3/31/2026 11:45:26,30,Education,On campus,Morning,Looking for information
3/31/2026 11:45:44,40,Entertainment,At home,Late night,Couldn't sleep
3/31/2026 11:46:12,20,Food,At a cafe/restaurant,Evening,Relaxing
3/31/2026 11:52:03,60,Entertainment,At home,Afternoon,Taking a break
3/31/2026 11:52:29,40,Entertainment,On public transport,Afternoon,Bored
3/31/2026 11:53:29,50,Sports,At home,Evening,Habit
3/31/2026 11:54:00,30,Gaming,At a cafe/restaurant,Afternoon,Habit
3/31/2026 11:57:00,10,News,At home,Morning,Looking for information
3/31/2026 17:38:56,60,Entertainment,At home,Afternoon,Taking a break
3/31/2026 17:39:20,30,Food,At home,Late night,Couldn't sleep
3/31/2026 17:39:49,40,Entertainment,At a cafe/restaurant,Afternoon,Relaxing
3/31/2026 17:40:13,10,Lifestyle,At home,Morning,Looking for information
3/31/2026 17:40:27,10,News,At home,Morning,Looking for information
3/31/2026 17:40:52,20,Sports,Outside,Afternoon,Habit
3/31/2026 17:41:14,30,Entertainment,Outside,Afternoon,Taking a break
3/31/2026 17:42:07,20,Gaming,At a cafe/restaurant,Evening,Bored
3/31/2026 17:42:38,20,Entertainment,On public transport,Morning,Bored
3/31/2026 17:59:24,30,Entertainment,At home,Evening,Relaxing
4/1/2026 1:24:05,20,Entertainment,At home,Late night,Couldn't sleep
5/13/2026 15:21:31,35,Gaming,At home,Evening,Relaxing
5/13/2026 15:21:55,60,Gaming,At home,Late night,Taking a break
5/13/2026 15:22:15,30,Entertainment,On public transport,Morning,Bored
5/13/2026 15:22:51,20,Education,On campus,Morning,Looking for information
5/13/2026 15:23:15,20,Sports,At a cafe/restaurant,Evening,Habit
5/13/2026 15:23:40,10,Food,At home,Late night,Couldn't sleep
5/13/2026 15:24:10,20,News,On public transport,Morning,Looking for information
5/13/2026 15:24:40,40,Entertainment,On campus,Evening,Taking a break
5/13/2026 15:25:41,60,Entertainment,At home,Evening,Relaxing
5/13/2026 15:26:55,25,Fashion,On public transport,Morning,Bored
5/13/2026 15:27:38,35,Lifestyle,At home,Afternoon,Taking a break
5/13/2026 15:27:57,25,Entertainment,On public transport,Morning,Bored
5/13/2026 15:28:35,50,Fashion,At home,Evening,Taking a break
5/13/2026 15:28:56,25,Gaming,On public transport,Evening,Bored
5/13/2026 15:36:46,25,Entertainment,On public transport,Afternoon,Bored
5/13/2026 15:37:13,30,Food,At a cafe/restaurant,Afternoon,Taking a break
5/13/2026 15:41:41,30,Entertainment,On campus,Afternoon,Taking a break
5/13/2026 15:47:26,30,Entertainment,At a cafe/restaurant,Afternoon,Taking a break
5/13/2026 15:48:08,30,Lifestyle,Outside,Afternoon,Relaxing
5/13/2026 15:48:57,40,Sports,On campus,Evening,Habit
5/13/2026 15:49:14,20,Lifestyle,At home,Late night,Couldn't sleep
5/13/2026 15:49:48,25,News,On public transport,Morning,Looking for information
5/13/2026 15:50:10,30,Entertainment,On campus,Evening,Taking a break
5/13/2026 15:50:49,10,Education,On campus,Afternoon,Looking for information
